,Unnamed: 0,School ID,City,Zip Code,2019 Rank,2019 Rank Level,2019 Avg Score,School Level
282,32,340888002582,Logan Township,8085,136.0,Elementary,87.30976,Elementary
283,33,340972003954,Morganville,7751,136.0,Elementary,87.30976,Elementary
284,34,341266004466,Millington,7946,136.0,Elementary,87.30976,Elementary
285,35,341098004406,Flanders,7836,136.0,Elementary,87.30976,Elementary
286,36,340639001562,Haddonfield,8033,136.0,Elementary,87.30976,Elementary
287,37,341461005392,Layton,7851,136.0,Elementary,87.30976,Elementary
288,38,340345003762,Colts Neck,7722,136.0,Elementary,87.30976,Elementary
289,39,341077004358,Morris Plains,7950,136.0,Elementary,87.30976,Middle
290,40,341689004142,Sea Girt,8750,136.0,Elementary,87.30976,Elementary
291,41,341770006077,Plainsboro,8536,136.0,Elementary,87.30976,Elementary
292,42,340972003948,Marlboro,7746,136.0,Elementary,87.30976,Elementary
293,43,341674002450,Verona,7044,136.0,Elementary,87.30976,Elementary
294,44,341011003990,Red Bank,7701,136.0,Elementary,87.30976,Elementary
295,45,341713004546,Long Valley,7853,136.0,Elementary,87.30976,Elementary
296,46,340192000290,Bogota,7603,136.0,Elementary,87.30976,Elementary
297,47,340519000145,Ringoes,8551,136.0,Elementary,87.30976,Elementary
298,48,341413004514,Wharton,7885,136.0,Elementary,87.30976,Elementary
299,49,340285002036,Cedar Grove,7009,136.0,Elementary,87.30976,Elementary
300,0,340414000007,Mickleton,8056,311.0,Elementary,77.46261,Elementary
301,1,341566001244,Jobstown,8041,311.0,Elementary,77.46261,Elementary
302,2,340002900297,Hoboken,7030,311.0,Elementary,77.46261,Elementary
303,3,340004200322,Hamilton,8619,311.0,Elementary,77.46261,Elementary
304,4,340633001536,Haddon Heights,8035,311.0,Elementary,77.46261,Elementary
305,5,341761002490,West Orange,7052,311.0,Elementary,77.46261,Elementary
306,6,340357005462,Cranford,7016,311.0,Elementary,77.46261,Middle
307,7,341143000640,North Arlington,7031,311.0,Elementary,77.46261,Elementary
308,8,341533002428,Maplewood,7040,311.0,Elementary,77.46261,Elementary
309,9,341761002482,West Orange,7052,311.0,Elementary,77.46261,Elementary
310,10,340726000524,Hillsdale,7642,311.0,Elementary,77.46261,Elementary
311,11,341011004004,Middletown,7748,311.0,Elementary,77.46261,Elementary
312,12,341011004008,Red Bank,7701,311.0,Elementary,77.46261,Elementary
313,13,340450003350,Edison,8817,311.0,Elementary,77.46261,Elementary
314,14,340498000426,Fair Lawn,7410,311.0,Elementary,77.46261,Elementary
315,15,341683001678,Voorhees,8043,311.0,Elementary,77.46261,Elementary
316,16,340927003514,Laurence Harbor,8879,311.0,Elementary,77.46261,Elementary
317,17,341467005688,Scotch Plains,7076,311.0,Elementary,77.46261,Elementary
318,18,340357005460,Cranford,7016,311.0,Elementary,77.46261,Elementary
319,19,341341003190,Princeton,8540,311.0,Elementary,77.46261,Elementary
320,20,340690002578,Mullica Hill,8062,311.0,Elementary,77.46261,Elementary
321,21,340258002016,Caldwell,7006,311.0,Elementary,77.46261,Elementary
322,22,340924004304,Madison,7940,311.0,Elementary,77.46261,Elementary
323,23,341521003616,Kendall Park,8824,311.0,Elementary,77.46261,Elementary
324,24,341575005406,Stillwater,7875,311.0,Elementary,77.46261,Elementary
325,25,340411003310,E Brunswick,8816,311.0,Elementary,77.46261,Elementary
326,26,341341000067,Princeton,8540,311.0,Elementary,77.46261,Elementary
327,27,341533002444,Maplewood,7040,311.0,Elementary,77.46261,Elementary
328,28,341434004530,Succasunna,7876,311.0,Elementary,77.46261,Elementary
329,29,340150000274,Bergenfield,7621,311.0,Elementary,77.46261,Elementary
330,30,340327000312,Cliffside Park,7010,311.0,Elementary,77.46261,Elementary
331,31,341248004438,Parsippany,7054,311.0,Elementary,77.46261,Elementary
332,32,340564003822,Freehold,7728,311.0,Elementary,77.46261,Elementary
333,33,340411005994,East Brunswick,8816,311.0,Elementary,77.46261,Elementary
334,34,341782000918,Township Of Washington,7676,311.0,Elementary,77.46261,Elementary
335,35,340987000540,Medford,8055,311.0,Elementary,77.46261,Elementary
336,36,341749006107,West Long Branch,7764,311.0,Elementary,77.46261,Elementary
337,37,340330004778,Clifton,7014,311.0,Elementary,77.46261,Elementary
338,38,340258002022,West Caldwell,7006,311.0,Elementary,77.46261,Elementary
339,39,341659005110,Monroeville,8343,311.0,Elementary,77.46261,Elementary
340,40,341650005760,Union,7083,311.0,Elementary,77.46261,Elementary
341,41,340987001126,Medford,8055,311.0,Elementary,77.46261,Elementary
342,42,340300001428,Cherry Hill,8003,311.0,Elementary,77.46261,Elementary
343,43,341683001680,Voorhees,8043,311.0,Elementary,77.46261,Elementary
344,44,340165005132,Liberty Corner,7938,311.0,Elementary,77.46261,Elementary
345,45,340531000448,Fort Lee,7024,311.0,Elementary,77.46261,Elementary
346,46,340783002848,Jersey City,7306,311.0,Elementary,77.46261,Elementary
347,47,341242000706,Paramus,7652,311.0,Elementary,77.46261,Elementary
348,48,341395000802,River Vale,7675,311.0,Elementary,77.46261,Elementary
349,49,340114003748,Avon by the Sea,7717,311.0,Elementary,77.46261,Elementary
350,0,340192000286,Bogota,7603,374.0,Elementary,74.62688,Elementary
351,1,340000800109,Great Meadows,7838,374.0,Elementary,74.62688,Elementary
352,2,341191000666,Oakland,7436,374.0,Elementary,74.62688,Elementary
353,3,341071001138,Moorestown,8057,374.0,Elementary,74.62688,Elementary
354,4,340774000725,Jackson,8527,374.0,Elementary,74.62688,Elementary
355,5,341836000948,Wyckoff,7481,374.0,Elementary,74.62688,Elementary
356,6,340852000538,Leonia,7605,374.0,Elementary,74.62688,Elementary
357,7,340756003870,Howell,7731,374.0,Elementary,74.62688,Elementary
358,8,341086004394,Mount Arlington,7856,374.0,Elementary,74.62688,Middle
359,9,341248004458,Parsippany,7054,374.0,Elementary,74.62688,Elementary
360,10,340831004648,Lavallette,8735,374.0,Elementary,74.62688,Elementary
361,11,341521003612,Kendall Park,8824,374.0,Elementary,74.62688,Elementary
362,12,340417004224,East Hanover,7936,374.0,Elementary,74.62688,Elementary
363,13,341323004688,New Egypt,8533,374.0,Elementary,74.62688,Elementary
364,14,341728004982,Wayne,7470,374.0,Elementary,74.62688,Elementary
365,15,340258002020,West Caldwell,7006,374.0,Elementary,74.62688,Elementary
