Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft
0.0,48.6,64.8,121.29999999999998,129.5,1763.2000000000003,56.599999999999994
0.0,0.0,0.0,153.0,102.0,459.4,51.0
0.0,0.0,0.0,16.9,67.4,135.0,16.9
0.0,0.0,92.60000000000001,92.6,168.5,884.3,33.7
2.9,2.9,25.799999999999997,63.099999999999994,60.2,1303.8,31.5
0.0,0.0,0.0,41.8,62.699999999999996,104.4,0.0
0.0,6.0,6.0,90.1,96.30000000000001,1010.8999999999999,60.1
1.9,26.6,1.9,28.5,81.69999999999999,609.5,22.799999999999997
0.0,0.0,0.0,0.0,0.0,375.9,0.0
0.0,20.4,61.400000000000006,133.1,184.3,1607.5,10.2
0.0,0.0,56.8,113.3,141.5,1033.2,127.4
0.0,0.0,0.0,34.0,17.0,390.0,135.7
0.0,0.0,0.0,0.0,552.5,7182.299999999999,0.0
0.0,35.8,74.89999999999999,243.89999999999998,195.1,1749.6000000000001,87.89999999999999
2.5,27.5,5.0,10.0,89.6,430.79999999999995,42.3
0.0,50.8,0.0,67.6,50.8,1389.2,50.8
0.0,0.0,5.0,17.4,94.2,525.5,56.99999999999999
0.0,0.0,0.0,0.0,0.0,56.4,0.0
0.0,16.200000000000003,27.1,38.0,38.1,789.0,65.3
0.0,6.1,3.0,24.5,58.10000000000001,449.0,33.6
0.0,0.0,0.0,61.9,0.0,247.70000000000002,0.0
7.2,7.2,64.69999999999999,262.29999999999995,258.8,2824.9,46.800000000000004
0.0,0.0,42.6,191.70000000000002,127.8,2386.1000000000004,0.0
0.0,0.0,22.5,22.5,39.4,1278.6,50.7
0.0,0.0,14.8,44.400000000000006,222.70000000000002,1851.8,85.4
0.0,17.4,17.4,87.0,87.0,435.4,34.8
0.0,25.0,10.0,120.19999999999999,80.1,856.2,60.0
0.0,33.0,32.9,41.099999999999994,115.4,890.5,32.9
0.0,0.0,0.0,0.0,102.4,512.0999999999999,204.9
0.0,72.5,0.0,72.5,145.0,652.6,0.0
0.0,0.0,0.0,56.6,56.6,622.9,0.0
0.0,0.0,24.0,120.0,95.9,1702.6999999999998,120.0
0.0,0.0,58.5,0.0,117.0,643.2,175.5
0.0,0.0,0.0,0.0,135.2,980.4,33.8
0.0,0.0,0.0,0.0,21.7,195.29999999999998,21.7
0.0,0.0,0.0,201.1,54.900000000000006,128.10000000000002,18.3
0.0,0.0,0.0,54.1,73.30000000000001,466.20000000000005,34.8
0.0,0.0,0.0,0.0,88.0,829.4000000000001,75.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,12.1,24.3,97.1,97.2,752.8000000000001,48.5
0.0,23.3,0.0,23.3,93.0,279.1,46.5
0.0,0.0,0.0,13.0,39.0,286.5,13.0
0.0,0.0,0.0,0.0,56.9,591.3,68.2
0.0,0.0,0.0,0.0,9.7,204.1,29.099999999999998
0.0,0.0,0.0,0.0,60.9,730.4,0.0
0.0,0.0,0.0,0.0,140.8,256.0,51.2
0.0,6.0,0.0,29.9,23.8,340.5,23.8
0.0,11.2,61.2,150.20000000000002,272.5,522.8,77.8
0.0,0.0,9.0,18.0,90.2,965.3999999999999,81.2
0.0,0.0,0.0,8.6,163.79999999999998,732.5999999999999,60.4
0.0,27.5,6.9,47.99999999999999,48.099999999999994,822.9,61.800000000000004
0.0,0.0,0.0,52.3,130.8,183.1,0.0
4.7,9.4,0.0,33.099999999999994,56.9,256.3,28.5
0.0,9.9,0.0,0.0,109.2,89.3,19.8
0.0,0.0,0.0,19.4,77.6,310.4,58.199999999999996
0.0,0.0,0.0,6.3,69.3,328.4,44.099999999999994
0.0,0.0,0.0,0.0,20.4,285.4,102.0
0.0,0.0,0.0,17.4,52.1,104.2,34.8
0.0,0.0,28.3,28.3,84.9,226.4,28.3
0.0,0.0,0.0,18.7,51.3,640.3000000000001,112.19999999999999
0.0,0.0,0.0,36.0,99.1,315.5,18.0
0.0,0.0,0.0,36.4,54.599999999999994,1179.8,54.5
0.0,26.5,47.7,143.10000000000002,47.7,832.5,21.2
0.0,0.0,0.0,0.0,162.5,301.70000000000005,162.5
0.0,0.0,0.0,0.0,50.699999999999996,388.9,16.9
0.0,17.2,10.3,20.5,61.900000000000006,289.79999999999995,3.4
0.0,157.2,0.0,188.6,62.8,785.7,31.4
1.9,17.099999999999998,5.699999999999999,19.0,112.4,444.4,64.8
0.0,11.6,0.0,23.2,34.9,465.8,23.3
0.0,0.0,19.799999999999997,26.4,85.8,395.3,0.0
0.0,3.9,3.9,23.4,39.1,316.9,31.2
0.0,0.0,0.0,46.6,209.70000000000002,1933.4,93.2
0.0,0.0,15.7,0.0,203.5,579.3,47.0
0.0,0.0,7.8,43.3,78.89999999999999,801.5,31.500000000000004
0.0,0.0,8.6,4.3,47.8,360.7,0.0
0.0,16.200000000000003,0.0,48.7,70.4,340.90000000000003,21.6
0.0,0.0,46.3,108.1,138.89999999999998,725.0,15.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,309.0,1235.9,0.0
0.0,0.0,0.0,0.0,427.7,11633.800000000001,0.0
0.0,26.9,0.0,18.0,125.6,583.2,0.0
0.0,21.699999999999996,14.5,50.8,142.8,663.0,14.399999999999999
4.0,24.1,12.0,70.89999999999999,171.2,890.1999999999999,16.0
0.0,0.0,0.0,0.0,591.7,1479.3000000000002,0.0
0.0,0.0,0.0,0.0,181.6,242.1,0.0
0.0,5.3,8.9,30.000000000000004,125.2,525.5,38.9
0.0,14.0,14.0,59.4,101.19999999999999,813.0999999999999,10.5
0.0,0.0,74.8,112.3,0.0,598.9,74.8
0.0,9.7,39.8,76.8,225.39999999999998,590.7,35.0
0.0,0.0,0.0,0.0,109.6,1864.0,164.5
0.0,0.0,9.4,47.5,109.1,521.6999999999999,19.0
0.0,165.0,0.0,99.0,99.0,2013.8,66.0
4.6,0.0,6.8999999999999995,13.899999999999999,118.69999999999999,502.9,28.0
0.0,0.0,0.0,0.0,0.0,1204.8000000000002,803.2
0.0,11.1,0.0,33.2,66.4,353.70000000000005,0.0
0.0,0.0,50.0,0.0,349.8,849.6,0.0
0.0,0.0,0.0,46.6,93.2,931.1,0.0
0.0,11.8,0.0,47.2,141.9,224.59999999999997,11.8
0.0,0.0,0.0,81.19999999999999,130.0,400.6,27.0
0.0,0.0,22.4,89.5,447.19999999999993,536.7,223.59999999999997
0.0,0.0,34.8,383.0,731.2,4909.599999999999,139.2
0.0,0.0,65.5,131.0,393.2,917.5,0.0
0.0,0.0,0.0,0.0,0.0,1505.6999999999998,0.0
0.0,0.0,53.4,133.7,160.29999999999998,641.8,53.5
0.0,14.8,3.7,99.5,70.1,755.2,29.5
0.0,170.4,0.0,0.0,255.60000000000002,425.9,0.0
0.0,0.0,0.0,30.0,209.9,689.4,179.9
0.0,0.0,17.6,35.2,57.2,474.2,13.200000000000001
0.0,36.599999999999994,0.0,24.4,36.599999999999994,353.3,0.0
0.0,0.0,22.2,19.9,50.2,527.2,45.5
0.0,0.0,47.9,322.79999999999995,298.9,1207.8000000000002,179.4
0.0,0.0,0.0,0.0,47.699999999999996,614.5,74.2
0.0,0.0,0.0,139.8,84.0,489.3,49.0
0.0,11.8,0.0,23.6,59.00000000000001,413.29999999999995,59.0
1.4,8.5,235.7,278.2,188.79999999999998,1310.4,225.7
6.800000000000001,29.3,260.7,379.9,494.3,1047.0,224.79999999999998
0.0,9.0,0.0,63.2,45.2,361.6,18.1
0.0,34.0,17.0,34.0,203.6,1052.1,152.6
0.0,8.1,0.0,32.5,48.8,276.29999999999995,16.2
0.0,9.4,18.8,112.5,150.1,1256.4,150.0
0.0,8.4,0.0,25.1,16.8,225.8,41.8
0.0,0.0,14.700000000000001,40.4,143.6,1430.0,71.7
0.0,7.6,3.8,37.7,67.7,391.5,18.9
7.8,7.8,0.0,85.9,101.6,945.4000000000001,93.80000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0
76.9,0.0,0.0,0.0,0.0,384.29999999999995,0.0
0.0,0.0,0.0,206.6,103.3,1033.0,0.0
0.0,0.0,0.0,59.7,0.0,179.10000000000002,0.0
0.0,0.0,24.299999999999997,121.19999999999999,145.39999999999998,1429.9,48.599999999999994
20.9,146.2,292.2,584.5,605.5,2213.0,250.5
42.4,63.599999999999994,402.0,1036.8,1629.3,2623.7999999999997,550.1
0.0,130.7,39.2,52.300000000000004,235.10000000000002,1045.0,78.4
0.0,0.0,0.0,29.0,290.0,667.2,29.0
0.0,0.0,0.0,12.3,73.8,356.8,49.2
0.0,0.0,0.0,0.0,55.900000000000006,201.5,52.199999999999996
0.0,0.0,0.0,12.9,38.7,439.2,77.4
9.7,0.0,58.099999999999994,87.0,106.3,945.9,29.0
0.0,13.8,6.9,6.9,89.2,432.1,48.1
