#,Zip Code,Location,City,Population,Avg. Income/H/hold,National Rank
263,7075,"40.850183, -74.087068","Wood Ridge, New Jersey",7644,"$60,949.00","#2,782"
264,7860,"41.060702, -74.807773","Newton, New Jersey",25994,"$60,904.00","#2,790"
265,8046,"40.028492, -74.886353","Willingboro, New Jersey",33008,"$60,869.00","#2,801"
266,7840,"40.859692, -74.833473","Hackettstown, New Jersey",26087,"$60,862.00","#2,803"
267,7882,"40.752121, -75.019474","Washington, New Jersey",14427,"$60,846.00","#2,806"
268,8350,"39.488386, -74.871571","Richland, New Jersey",743,"$60,833.00","#2,812"
269,7662,"40.910694, -74.082895","Rochelle Park, New Jersey",5528,"$60,818.00","#2,817"
270,8088,"39.851569, -74.701332","Vincentown, New Jersey",24372,"$60,773.00","#2,827"
271,7828,"40.883501, -74.749441","Budd Lake, New Jersey",12882,"$60,729.00","#2,838"
272,8846,"40.574089, -74.502311","Middlesex, New Jersey",13717,"$60,723.00","#2,840"
273,7439,"41.080090, -74.597626","Ogdensburg, New Jersey",2650,"$60,688.00","#2,851"
274,7095,"40.553151, -74.288563","Woodbridge, New Jersey",20298,"$60,600.00","#2,869"
275,7083,"40.695266, -74.269078","Union, New Jersey",50766,"$60,487.00","#2,895"
276,8859,"40.453482, -74.311779","Parlin, New Jersey",20129,"$60,486.00","#2,896"
277,8317,"39.405031, -74.821265","Dorothy, New Jersey",1180,"$60,455.00","#2,905"
278,7420,"41.030354, -74.300779","Haskell, New Jersey",4767,"$60,428.00","#2,909"
279,7512,"40.904737, -74.221751","Totowa, New Jersey",9892,"$60,408.00","#2,913"
280,7419,"41.159776, -74.560291","Hamburg, New Jersey",7165,"$60,396.00","#2,922"
281,8741,"39.933966, -74.168198","Pine Beach, New Jersey",2436,"$60,227.00","#2,970"
282,7717,"40.191938, -74.015037","Avon By The Sea, New Jersey",2244,"$60,192.00","#2,980"
283,7034,"40.881309, -74.382628","Lake Hiawatha, New Jersey",9320,"$60,187.00","#2,982"
284,8828,"40.379795, -74.421591","Helmetta, New Jersey",1825,"$60,125.00","#2,997"
285,7013,"40.869405, -74.173062","Clifton, New Jersey",24721,"$60,118.00","#3,002"
286,8221,"39.343718, -74.571049","Linwood, New Jersey",7172,"$60,000.00","#3,027"
287,7762,"40.153878, -74.036112","Spring Lake, New Jersey",9216,"$59,883.00","#3,044"
288,7826,"41.188409, -74.771236","Branchville, New Jersey",5833,"$59,875.00","#3,045"
289,7701,"40.358855, -74.080266","Red Bank, New Jersey",23068,"$59,851.00","#3,051"
290,7603,"40.875012, -74.029072","Bogota, New Jersey",8249,"$59,813.00","#3,057"
291,7094,"40.782013, -74.060778","Secaucus, New Jersey",15931,"$59,800.00","#3,060"
292,7110,"40.820570, -74.156072","Nutley, New Jersey",27362,"$59,634.00","#3,083"
293,7424,"40.882454, -74.205834","Little Falls, New Jersey",21842,"$59,611.00","#3,088"
294,7064,"40.568447, -74.247736","Port Reading, New Jersey",3828,"$59,531.00","#3,105"
295,7033,"40.678089, -74.288114","Kenilworth, New Jersey",7701,"$59,482.00","#3,114"
296,7461,"41.246268, -74.610416","Sussex, New Jersey",18296,"$59,458.00","#3,118"
297,8825,"40.514186, -75.027170","Frenchtown, New Jersey",4675,"$59,432.00","#3,120"
298,7462,"41.198457, -74.495577","Vernon, New Jersey",6733,"$59,187.00","#3,159"
299,7606,"40.862155, -74.054377","South Hackensack, New Jersey",2185,"$59,167.00","#3,163"
300,7646,"40.934161, -74.019453","New Milford, New Jersey",16400,"$59,118.00","#3,171"
301,7758,"40.430684, -74.103295","Port Monmouth, New Jersey",4892,"$59,097.00","#3,175"
302,8722,"39.928405, -74.202189","Beachwood, New Jersey",10375,"$59,022.00","#3,184"
303,7205,"40.695889, -74.228800","Hillside, New Jersey",21737,"$59,014.00","#3,186"
304,8505,"40.100251, -74.717307","Bordentown, New Jersey",14789,"$58,844.00","#3,212"
305,8328,"39.579668, -75.056375","Malaga, New Jersey",1476,"$58,833.00","#3,215"
306,8035,"39.879661, -75.066162","Haddon Heights, New Jersey",7547,"$58,424.00","#3,289"
307,7631,"40.891197, -73.972515","Englewood, New Jersey",26203,"$58,379.00","#3,296"
308,7014,"40.831352, -74.135424","Clifton, New Jersey",4442,"$58,359.00","#3,300"
