ORINumber,City,Population,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft
NJ0140500,CHATHAM TWP PD,10288.0,0.0,0.0,0.0,0.0,19.4,252.7,48.6
NJ0140600,CHESTER BORO PD,1643.0,0.0,0.0,0.0,0.0,0.0,365.2,0.0
NJ0140700,CHESTER TWP PD,7809.0,0.0,0.0,0.0,0.0,64.0,179.3,38.4
NJ0140800,DENVILLE PD,16737.0,0.0,6.0,6.0,0.0,41.8,460.1,35.8
NJ0140900,DOVER PD,17982.0,0.0,5.6,55.6,83.4,178.0,784.1,77.9
NJ0141000,EAST HANOVER TWP PD,11084.0,0.0,0.0,0.0,18.0,144.4,748.8,63.2
NJ0141100,FLORHAM PARK PD,11602.0,0.0,0.0,17.2,8.6,69.0,456.8,34.5
NJ0141200,HANOVER TWP PD,14583.0,0.0,13.7,6.9,6.9,68.6,980.6,54.9
NJ0141300,HARDING TWP PD,3824.0,0.0,0.0,0.0,0.0,130.8,287.7,52.3
NJ0141400,JEFFERSON TWP PD,21071.0,0.0,0.0,0.0,23.7,75.9,303.7,19.0
NJ0141500,KINNELON BORO PD,10080.0,0.0,0.0,0.0,9.9,129.0,109.1,9.9
NJ0141600,LINCOLN PARK PD,10308.0,0.0,0.0,0.0,0.0,58.2,475.4,48.5
NJ0143000,LONG HILL TWP PD,8587.0,0.0,0.0,11.6,23.3,23.3,430.9,46.6
NJ0141700,MADISON PD,15832.0,0.0,6.3,6.3,6.3,37.9,429.5,12.6
NJ0141800,MENDHAM BORO PD,4905.0,0.0,0.0,0.0,0.0,81.5,367.0,40.8
NJ0141900,MENDHAM TWP PD,5757.0,0.0,0.0,0.0,0.0,104.2,86.9,17.4
NJ0142000,MINE HILL TWP PD,3534.0,0.0,0.0,0.0,0.0,113.2,226.4,113.2
NJ0142100,MONTVILLE TWP PD,21396.0,0.0,4.7,0.0,14.0,74.8,579.5,154.2
NJ0149100,MORRIS COUNTY PARK PD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
