,School ID,School Name,City,Zip Code,Address,2018 Rank,2018 Rank Stars,2018 Rank Level,2018 Avg Score,2019 Rank,2019 Rank Stars,2019 Rank Level,2019 Avg Score,2019 Student Count,Low Grade,High Grade,School Level
15,341065004340,Valley View School,Montville,07045,30 Montgomery Avenue,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,PK,5,Elementary
16,340006400373,The Gray Charter School,Newark,07102,55 Liberty Street,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,K,8,Elementary
17,341383000782,Willard Elementary School,Ridgewood,07451,601 Morningside Rd,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,K,5,Elementary
18,340360000326,Edward H. Bryan,Cresskill,07626,51 Brookside Ave,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,K,5,Elementary
19,341359000736,Mary A. Hubbard Elementary School,Ramsey,07446,10 Hubbard Lane,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,PK,3,Elementary
20,341590005712,Brayton Elementary School,Summit,07901,89 Tulip Street,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,1,5,Elementary
21,341389000794,Roosevelt School,River Edge,07661,711 Summit Ave,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,K,6,Elementary
22,340969000393,William H. Ross III School,Margate City,08402,101 N  Haverford Avenue,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,PK,4,Elementary
23,340411003318,Warnsdorfer Elementary School,East Brunswick,08816,9 Hardenburg Lane,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,PK,5,Elementary
24,341821000934,Dorchester Elementary School,Woodcliff Lake,07677,100 Dorchester Road,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,PK,5,Elementary
25,341611000866,J Spencer Smith School,Tenafly,07670,101 Downey Drive,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,K,5,Elementary
26,341065004342,William Mason School,Montville,07045,5 Shawnee Trail,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,PK,5,Elementary
27,340924004310,Torey J. Sabatini School,Madison,07940,Glenwild Circle,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,K,5,Elementary
28,341422004086,Roosevelt Public School,Roosevelt,08555,2a School Lane,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,PK,6,Elementary
29,341770003264,J.V.B. Wicoff Elementary School,Plainsboro,08536,510 Plainsboro Road,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,K,3,Elementary
30,340804004288,Stonybrook Elementary School,Kinnelon,07405,118 Boonton Avenue,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,3,5,Elementary
31,341467005684,Howard B. Brunner Elementary School,Scotch Plains,07076,721 Westfield Road,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,PK,4,Elementary
32,341782000916,Brookside Elementary School,Westwood,07675,20 Lake Drive,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,K,5,Elementary
33,340231003754,Brielle Elementary School,Brielle,08730,605 Union Lane,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,PK,8,Elementary
34,341611000874,Walter Stillman School,Tenafly,07670,75 Tenafly Road,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,PK,5,Elementary
35,341383000778,Travell Elementary School,Ridgewood,07451,340 Bogert Ave,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,K,5,Elementary
36,341830000924,Catherine E. Doyle Elementary School,Wood Ridge,07075,250 Wood  Ridge Ave,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,PK,3,Elementary
37,340501002086,Adlai E. Stevenson,Fairfield,07004,15 Knoll Road,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,PK,3,Elementary
38,340753003138,Bear Tavern Elementary School,Titusville,08560,1162 Bear Tavern Road,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,PK,5,Elementary
39,340003200302,Hoboken Charter School,Hoboken,07030,713 Washington St,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,K,12,Other
40,340354003282,Cranbury School,Cranbury,08512,23 N Main St,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,PK,8,Elementary
41,341698006106,Angelo L. Tomaso School,Warren,07059,46 Washington Valley Road,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,K,5,Elementary
42,341245000712,East Brook Elementary School,Park Ridge,07656,167 Sibbald Dr,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,K,6,Elementary
43,340411003314,Frost Elementary School,East Brunswick,08816,65 Frost Avenue,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,PK,5,Elementary
44,340723006068,Amsterdam Elementary School,Hillsborough,08844,301 Amsterdam Drive,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,K,4,Elementary
45,340882006052,Burnet Hill Elementary School,Livingston,07039,25 Byron Place,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,PK,5,Elementary
46,340771004608,Island Heights Elementary School,Island Heights,08732,115 Summit Ave,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,K,6,Elementary
47,340342001478,James A. Garfield Elementary School,Collingswood,08108,480 Haddon Ave,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,K,5,Elementary
48,341521000509,Brooks Crossing Elementary School,Monmouth Junction,08852,50 Deans Hall Road,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,K,5,Elementary
49,340639001556,Central School,Haddonfield,08033,Three Lincoln Avenue,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,PK,5,Elementary
0,340741003856,Village School,Holmdel,07733,67 McCampbell Road,151,4,Elementary,86.58082,106,5,Elementary,89.43088,759.0,PK,3,Elementary
1,340987001120,Cranberry Pines Elementary,Medford,08055,400 Fairview Road,151,4,Elementary,86.58082,106,5,Elementary,89.43088,,K,5,Elementary
2,340285002030,North End Elementary School,Cedar Grove,07009,122 Stevens Avenue,151,4,Elementary,86.58082,106,5,Elementary,89.43088,,PK,4,Elementary
3,340009000829,Central Jersey College Prep Charter School,Somerset,08873,101 Mettlers Road,151,4,Elementary,86.58082,106,5,Elementary,89.43088,,K,12,Other
4,340753003140,Toll Gate Grammar School,Pennington,08534,275 So  Main Street,151,4,Elementary,86.58082,106,5,Elementary,89.43088,,K,5,Elementary
5,340723005228,Sunnymead Elementary School,Hillsborough,08844,55 Sunnymead Road,151,4,Elementary,86.58082,106,5,Elementary,89.43088,,PK,4,Elementary
6,340597000486,Richard E Byrd,Glen Rock,07452,640 Doremus Ave,151,4,Elementary,86.58082,106,5,Elementary,89.43088,,K,5,Elementary
7,341776005774,Jefferson Elementary School,Westfield,07090,1200 Boulevard,151,4,Elementary,86.58082,106,5,Elementary,89.43088,,1,5,Elementary
8,341698005306,Central School,Warren,07059,109 Mount Bethel Road,151,4,Elementary,86.58082,106,5,Elementary,89.43088,,K,5,Elementary
9,341365004488,Center Grove School,Randolph,07869,25 School House Road,151,4,Elementary,86.58082,106,5,Elementary,89.43088,,PK,5,Elementary
10,340228006047,Hamilton Primary School,Basking Ridge,07920,9 Hamilton Lane,151,4,Elementary,86.58082,106,5,Elementary,89.43088,,K,4,Elementary
11,340399000342,Grant Elementary School,Dumont,07628,100 Grant Ave,151,4,Elementary,86.58082,106,5,Elementary,89.43088,,K,5,Elementary
12,341338000204,Port Republic Elementary School,Port Republic,08241,137 Pomona Avenue,151,4,Elementary,86.58082,106,5,Elementary,89.43088,,K,8,Elementary
13,340002500291,Robert Treat Academy Charter School,Newark,07104,443 Clifton Avenue,151,4,Elementary,86.58082,106,5,Elementary,89.43088,,K,8,Elementary
14,340198004162,Rockaway Valley School,Boonton,07005,11 Valley Road,151,4,Elementary,86.58082,106,5,Elementary,89.43088,,PK,8,Elementary
15,340633001534,Atlantic Avenue,Haddon Heights,08035,21 East Atlantic Avenue,151,4,Elementary,86.58082,106,5,Elementary,89.43088,,PK,6,Elementary
